# From Lens, D.D et al. (1998), Apj, 119, 121.
# Table 2: Synthesized u'g'r'i'z' colors for the Gunn-Stryker Stellar Atlas
# Star  	 Type 	  u'-g'     g'-r'     r'-i'     i'-z'
9 Sgr         	  O5  	  -0.4807   -0.5639   -0.3989	-0.2855
9 Sge        	  O8F	  -0.4369   -0.5392   -0.4216	-0.3269
HR 8023      	  O6	  -0.4019   -0.5466   -0.4072	-0.3431
1 935       	  B1V	 -0.2565   -0.4751   -0.3620   -0.2623
60 Cyg       	  B1V	 -0.2052   -0.5083   -0.3858   -0.2985
102 Her       	  B2V	 -0.1145   -0.4791   -0.3933   -0.2963
g Hya        	  B3V	 0.0447    -0.4195   -0.3255   -0.2223
iota Her          B3V	 0.0714    -0.4341   -0.3423   -0.2447
HR 7899      	  B4V	 0.0887    -0.4461   -0.3498   -0.2515
38 Oph       	  A1V	 0.2729    -0.3745   -0.3096   -0.2088
HR 7174      	  B6V	 0.4969    -0.3304   -0.2853   -0.1840
9 Vul        	  B7V	 0.5026    -0.3289   -0.2643   -0.1613
HD 189689     	  B9V	 0.5617    -0.3068   -0.2600   -0.1280
h Vir        	  A0V	 0.9790    -0.2533   -0.2225   -0.1205
l Cap        	  B9V	 0.8832    -0.2590   -0.2161   -0.1021
HR 6169      	  A2V	 1.0182    -0.2463   -0.2304   -0.1583
HD 190849A    	  A1V	 0.9620    -0.2488   -0.2151   -0.1243
69 Her       	  A2V	 1.0155    -0.2413   -0.2225   -0.1270
HD 190849B    	  A3V	 1.0510    -0.2024   -0.1974   -0.1136
58 Aql       	  A0V	 1.0547    -0.1742   -0.1844   -0.0739
78 Her       	  B9V	 1.0741    -0.1945   -0.1848   -0.1115
HR 6570      	  A7V	 1.1581    -0.1584   -0.1904   -0.1318
HD 187754     	  A2V	 1.2430    -0.1163   -0.1286   -0.0540
h1 Ser        	  A5V	 1.1306    -0.1032   -0.1390   -0.0953
Praesepe 276      None	  1.2238    -0.0473   -0.1518	-0.0547
Praesepe 114      None	  1.1664    -0.0395   -0.1128	-0.0732
Praesepe 154      None	  1.1351    -0.0153   -0.0832	-0.0740
HD 190192     	  A5V	 1.1502    0.0013    -0.0701   -0.0590
Praesepe 226      None	 1.1276    0.0522    -0.0328   -0.0607
Praesepe 37       None	 1.1088    0.0977    -0.0406   -0.0465
HD 191177     	  F4V	 1.1785    0.1160    -0.0198   -0.0618
Praesepe 332      None	 1.0586    0.1933    -0.0002   -0.0166
BD 293891    	  F6V	 1.1026    0.2064    0.0404    -0.0488
Praesepe 222      None	 1.0906    0.2174    0.0463    -0.0014
HD 35296     	  F8V	 1.1193    0.3048    0.0735    0.0231
HD 148816     	  F9V	 0.9831    0.3406    0.1116    0.0298
HD 155675     	  F8V	 1.0683    0.3282    0.1230    0.0166
Praesepe 418      None	 1.1805    0.3345    0.0735    0.0128
HD 122693     	  F8V	 1.2358    0.3467    0.0966    -0.0261
HD 154417     	  F8V	 1.1709    0.3540    0.0944    -0.0061
Hyad 2       	  None	 1.2886    0.3856    0.0909    0.0239
HD 154760     	  G2V	 1.2734    0.3865    0.1285    0.0231
HD 139777A    	  K0V	 1.2919    0.4361    0.1381    0.0214
HD 136274     	  G8V	 1.5195    0.4926    0.1711    0.0265
HYAD 26     	  None	 1.5372    0.5038    0.1319    0.0546
HD 150205     	  G5V	 1.5028    0.4912    0.1658    0.0510
Hyad 21      	  None	 1.6981    0.5451    0.1636    0.0752
02 3001      	  G8V	 1.6281    0.6197    0.2160    0.0759
Hyad 183      	  None	 1.9875    0.7079    0.2135    0.1316
HD 190470     	  K3V	 2.0313    0.6999    0.2245    0.1008
HD 154712     	  K4V	 2.2264    0.8254    0.2901    0.1451
Hyad 185      	  None	 2.2837    0.9170    0.3613    0.1888
38 2457      	  K8V	 2.4454    0.9289    0.3221    0.1348
Hyad 173      	  None	 2.6264    1.0804    0.4151    0.2422
GL 40        	  M0V	 2.6485    1.1869    0.5150    0.2592
